name,decimalLongitude,decimalLatitude
spp_ex,-71.595583,5.41425
spp_ex,-71.60045,5.416583
spp_ex,-71.452,5.415383
spp_ex,-71.452,5.415383
spp_ex,-71.452,5.415383
spp_ex,-71.452,5.415383
spp_ex,-71.452,5.415383
spp_ex,-71.452,5.415383
spp_ex,-91.727222,16.133611
spp_ex,-91.727222,16.133611
spp_ex,-91.726944,16.134444
spp_ex,-76.675661,3.757196
spp_ex,-76.675661,3.757196
spp_ex,-74.0635,10.9914
spp_ex,-72.815556,11.039611
spp_ex,-72.815556,11.039611
spp_ex,-72.815556,11.039611
spp_ex,-72.815556,11.039611
spp_ex,-72.815556,11.039611
spp_ex,-75.160278,9.919444
spp_ex,-75.1575,9.925833
spp_ex,-75.160278,9.919444
spp_ex,-75.160278,9.919444
spp_ex,-75.1575,9.925833
spp_ex,-75.1575,9.925833
spp_ex,-75.161944,10.747028
spp_ex,-75.154361,10.761833
spp_ex,-75.154361,10.761833
spp_ex,-75.161944,10.747028
spp_ex,-75.154361,10.761833
spp_ex,-75.154361,10.761833
spp_ex,-75.154361,10.761833
spp_ex,-75.162278,10.749806
spp_ex,-75.162278,10.749806
spp_ex,-75.154361,10.761833
spp_ex,-75.162278,10.749806
spp_ex,-72.815556,11.039611
spp_ex,-72.815556,11.039611
spp_ex,-72.815556,11.039611
spp_ex,-72.815556,11.039611
spp_ex,-72.815556,11.039611
spp_ex,-75.160278,9.919444
spp_ex,-75.160278,9.919444
spp_ex,-75.1575,9.925833
spp_ex,-75.160278,9.919444
spp_ex,-75.160278,9.919444
spp_ex,-75.1575,9.925833
spp_ex,-75.1575,9.925833
spp_ex,-75.161944,10.747028
spp_ex,-75.161944,10.747028
spp_ex,-75.154361,10.761833
spp_ex,-75.154361,10.761833
spp_ex,-75.154361,10.761833
spp_ex,-75.154361,10.761833
spp_ex,-75.154361,10.761833
spp_ex,-75.162278,10.749806
spp_ex,-75.154361,10.761833
spp_ex,-75.162278,10.749806
spp_ex,-75.162278,10.749806
spp_ex,-72.808611,11.039722
spp_ex,-75.154361,10.761833
spp_ex,-72.808611,11.039722
spp_ex,-75.154361,10.761833
spp_ex,-76.675661,3.757196
spp_ex,-92.520278,15.556944
spp_ex,-92.457222,15.3825
spp_ex,-92.487222,15.483889
spp_ex,-92.58,15.399722
spp_ex,-92.58,15.399722
spp_ex,-92.519167,15.445556
spp_ex,-92.228611,15.1575
spp_ex,-92.238056,15.213056
spp_ex,-92.146111,15.084167
spp_ex,-93.715556,16.222778
spp_ex,-92.032222,17.4925
spp_ex,-91.786111,16.128056
spp_ex,-93.038889,16.855833
spp_ex,-93.038889,16.855833
spp_ex,-93.038889,16.855833
spp_ex,-93.038889,16.855833
spp_ex,-93.171389,16.9225
spp_ex,-93.100833,16.885
spp_ex,-93.182778,16.877778
spp_ex,-73.124442,5.871108
spp_ex,-73.130556,5.821942
spp_ex,-72.636222,7.548444
spp_ex,-72.635083,7.538583
spp_ex,-76.675661,3.757196
spp_ex,-76.675661,3.757196
spp_ex,-76.675661,3.757196
spp_ex,-75.341028,9.543389
spp_ex,-75.346139,9.534944
spp_ex,-75.346139,9.534944
spp_ex,-75.346139,9.534944
spp_ex,-75.346972,9.534388
spp_ex,-75.347028,9.53425
spp_ex,-69.7165,6.233917
spp_ex,-69.788806,6.282722
spp_ex,-74.06345,10.9914
spp_ex,-74.0635,10.9914
spp_ex,-71.821944,6.35675
spp_ex,-71.821944,6.35675
spp_ex,-73.425,4.522778
spp_ex,-73.425,4.522778
spp_ex,-73.425,4.522778
spp_ex,-73.425,4.522778
spp_ex,-73.425,4.522778
spp_ex,-73.425,4.522778
spp_ex,-73.425,4.522778
spp_ex,-73.425,4.522778
spp_ex,-73.425,4.522778
spp_ex,-106.558333,24.408333
spp_ex,-106.558333,24.408333
spp_ex,-64.115833,-29.864645
spp_ex,-64.115833,-29.864645
spp_ex,-64.115833,-29.864645
spp_ex,-64.115833,-29.864645
spp_ex,-64.115833,-29.864645
spp_ex,-64.115833,-29.864645
spp_ex,-64.115833,-29.864645
spp_ex,-64.115833,-29.864645
spp_ex,-82.73419252,8.907118494
spp_ex,-82.73419252,8.907118494
spp_ex,-82.6169,8.894983
spp_ex,-82.6169,8.894983
spp_ex,-96.754167,19.345
spp_ex,-96.766667,19.346944
spp_ex,-96.754167,19.345
spp_ex,-96.758611,19.3175
spp_ex,-96.769167,19.342222
spp_ex,-96.7775,19.327778
spp_ex,-96.793889,19.326111
spp_ex,-96.758611,19.3175
spp_ex,-96.728611,19.326667
spp_ex,-96.793889,19.326111
spp_ex,-96.787778,19.344167
spp_ex,-96.7775,19.327778
spp_ex,-96.754167,19.345
spp_ex,-96.754167,19.345
spp_ex,-96.728611,19.326667
spp_ex,-96.758611,19.3175
spp_ex,-96.758611,19.3175
spp_ex,-93.588889,16.175
spp_ex,-93.588889,16.175
spp_ex,-96.941667,19.581944
spp_ex,-93.738333,16.354722
spp_ex,-93.738333,16.354722
spp_ex,-99.298222,21.676139
spp_ex,-98.98,21.207806
spp_ex,-99.427778,22.125833
spp_ex,-93.191944,15.880278
spp_ex,-93.655278,16.125278
spp_ex,-92.184722,15.148611
spp_ex,-105.029167,19.527778
spp_ex,-47.898889,-15.93978
spp_ex,-47.898889,-15.93978
spp_ex,-47.898889,-15.93978
spp_ex,-66.381556,-27.518718
spp_ex,-66.381556,-27.518718
spp_ex,-58.980413,-26.955914
spp_ex,-66.25,-28.811667
spp_ex,-104.446797,19.105497
spp_ex,-69.524129,-31.035872
spp_ex,-66.381556,-27.518718
spp_ex,-66.381556,-27.518718
spp_ex,-66.25,-28.811667
spp_ex,-66.25,-28.811667
spp_ex,-65.465367,-26.771767
spp_ex,-64.484889,-24.2965
spp_ex,-69.752892,6.265644
spp_ex,-69.787917,6.282972
spp_ex,-69.716222,6.233917
spp_ex,-69.788806,6.282722
spp_ex,-76.380859,7.520663
spp_ex,-75.826093,4.600103
spp_ex,-75.826093,4.600103
spp_ex,-74.261139,5.054972
spp_ex,-74.261556,5.054889
spp_ex,-75.3249,8.1133
spp_ex,-75.4,8.545556
spp_ex,-75.4,8.545556
spp_ex,-76.319,8.742444
spp_ex,-75.52875,8.183667
spp_ex,-76.102917,8.509972
spp_ex,-76.102917,8.509972
spp_ex,-60.266667,6.316667
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.79293,2.83333
spp_ex,-58.93768,2.83333
spp_ex,-58.93768,2.83333
spp_ex,-58.93768,2.83333
spp_ex,-58.93768,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-59.08242,2.83333
spp_ex,-76.583333,3
spp_ex,-76.583333,3
spp_ex,-76.583333,3
spp_ex,-70.173333,1.198333
spp_ex,-70.173333,1.198333
